teal x,,sky blue rhombus,,blue circle,,red +,,sage *,,peru circle,,lightbrown +,,purple square,,brown triangle,,yellow square,,lightgreen x,,brown +,,purple triang,,sage circle,,red rhombus,,blue *,,purple x,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.9230769230769234,1.3024017265299834,1.2264957264957346,1.3071583623086607,1.2264957264957346,1.2897624593917163,0.7813390313390407,1.9392273435760385,1.2264957264957346,2.4204961489931414,0.9594017094017175,2.5156044567767992,0.9594017094017175,2.93310612678348,1.2264957264957346,3.0513875614476804,0.4252136752136835,3.8725062946405613,1.7606837606837686,4.102078687289107,0.6923076923077005,4.568331706147337,3.630341880341888,4.707381172601613,2.2948717948718027,3.1487617970984694,2.8290598290598368,3.607992223763765,3.0961538461538503,5.584156089957693,10.307692307692317,4.929781100662863,4.1645299145299255,6.231240857783943
3.674857549857556,4.29335689898315,3.674857549857556,2.0608826913085414,3.8974358974359014,2.9248702818742887,3.674857549857556,3.24960272396645,4.5651709401709475,4.47307887855483,2.8290598290598368,3.5662420567630972,6.835470085470096,4.408043180377849,2.8290598290598368,3.9419935597691094,6.301282051282062,5.806695185242278,4.1645299145299255,5.222278488601133,7.102564102564106,7.247043831252247,6.568376068376072,6.495562235582275,4.1645299145299255,4.206357758251545,5.767094017094028,4.9160463662367455,5.5000000000000036,6.217270609595258,2.2948717948718027,5.959939708476782,6.568376068376072,6.2868114005789355
7.903846153846164,5.47031016448852,6.568376068376079,3.3132717286424684,6.123219373219381,4.258466962414857,6.7909544159544275,4.716532309633511,7.013532763532776,5.1166291557473915,6.301282051282062,5.785820101741945,10.574786324786334,4.867145144990836,5.5000000000000036,5.389225630748676,7.636752136752147,6.168476440059605,8.705128205128215,5.47955586386448,11.376068376068385,7.810499803024853,10.0405982905983,7.337384769539078,7.636752136752147,6.265893496394497,9.506410256410266,5.688274583354743,10.307692307692317,6.9129140331945935,6.835470085470096,7.657597845263176,10.841880341880351,6.244889950841854
11.019943019943032,6.682099840707055,10.129629629629637,4.385876339573733,11.24252136752138,5.319411857903841,10.352207977207986,5.713754674591347,12.132834757834768,6.490700303741384,10.307692307692317,6.620662864189917,14.314102564102573,5.249705136769264,10.574786324786334,6.55802690851789,12.978632478632488,6.495305311477655,12.444444444444454,5.8342824109757965,4.1645299145299255,6.196449051950053,13.512820512820522,7.218953462480516,11.376068376068385,7.260789270849391,13.245726495726505,6.620545107308633,48.235042735042754,5.053511467379201,10.0405982905983,8.464639278557113,14.047008547008556,5.528050288611411
22.14886039886041,5.875643623429194,14.136039886039892,5.209121833410411,17.919871794871806,5.09299749070791,14.358618233618241,6.247068453145607,14.136039886039892,6.455828209124801,14.58119658119659,6.8640342222907345,24.730769230769244,5.409329941935152,14.314102564102573,6.683127537125532,25.799145299145312,4.595158864738022,15.916666666666675,6.411687220595035,14.047008547008556,7.58076683281092,20.190170940170947,6.202765102855283,15.382478632478641,7.288462137951115,19.655982905982913,6.481120959868454,66.1303418803419,4.864918469417466,12.978632478632488,6.79451484164911,17.7863247863248,4.595480019868797
24.15206552706554,5.6610138653375115,17.02955840455842,5.835258365734317,20.813390313390325,4.524615356068261,16.80698005698007,5.812072749487578,19.03276353276355,5.800386271117733,16.717948717948726,6.015028518575612,27.66880341880343,5.249169878217973,16.717948717948726,6.502113800250072,18.85470085470087,5.263439871195381,18.85470085470087,6.126276655875854,19.388888888888903,6.502006748539815,26.06623931623933,5.534526917082026,18.587606837606845,6.7942900330575675,22.059829059829074,5.715604884983642,73.8760683760684,4.140938458112806,16.45085470085471,6.028955946080194,21.52564102564104,4.4283294794717625
27.935897435897456,5.405722299299452,21.48112535612537,5.342196030237112,25.04237891737893,4.060555113075153,20.813390313390325,5.481390016500236,26.155270655270673,4.61138076723247,20.991452991453006,4.734518781152047,38.352564102564116,4.914740335371597,20.45726495726497,5.618252059674904,20.72435897435898,5.1241977116626405,22.326923076923084,5.513801705976054,21.79273504273505,6.237492677663017,27.401709401709414,5.478806501892674,20.72435897435898,6.515869945018241,26.600427350427363,5.353588116403746,88.29914529914534,4.049901683709298,20.72435897435898,5.799158744840106,24.99786324786326,4.616066063751433
29.93910256410258,5.423037913433705,23.929487179487193,4.2229614785125795,27.935897435897456,3.555957955797634,24.15206552706554,5.115942240606568,27.935897435897456,4.692490279704707,35.681623931623946,5.137514944418751,41.55769230769232,4.782403011150505,24.19658119658121,5.131016905606083,28.47008547008549,4.344550811023756,25.799145299145312,5.012660534744702,27.134615384615397,5.638859513899593,53.84401709401712,6.0552906668036925,25.532051282051295,6.042508692598872,35.414529914529936,4.796565952417655,174.8376068376069,4.102100097631158,24.19658119658121,5.83381138345066,33.2777777777778,4.469608618947295
34.83582621082623,5.504022532243974,27.935897435897456,3.5443606871863373,42.180911680911706,4.448376696412767,28.826210826210843,4.367731074684981,33.50035612535615,4.831434478643896,43.16025641025642,4.6083797509549,55.980769230769255,4.44086523474299,27.66880341880343,4.963877070380075,105.39316239316244,3.9726745799290883,30.072649572649592,4.365361663497935,29.004273504273524,5.541367521367521,59.45299145299147,5.748897966873917,27.935897435897456,6.111995957727419,28.7371794871795,5.2421686963670915,322.80769230769243,4.221419933884862,28.7371794871795,5.729253978041553,39.95512820512822,5.290427607351454
41.73575498575501,5.405169198796452,36.616452991453,3.300470128290768,53.309829059829084,3.763691799553521,34.83582621082623,3.9731830755528135,40.84544159544161,4.935515503942357,58.651709401709425,4.336382765531061,84.29273504273507,4.711106572118595,34.61324786324788,4.803556429097511,181.78205128205133,4.060071596183819,40.22222222222223,4.010078447493276,35.948717948717956,5.78463182775808,101.65384615384619,5.510622270181388,33.811965811965834,5.6246751622903925,40.48931623931625,4.761570748334274,,,30.606837606837626,5.715262319510815,45.83119658119659,4.782231728414091
53.53240740740743,5.31771687249142,42.84864672364675,3.259629900827294,64.21616809116813,3.7922478432648763,41.73575498575501,3.7467597873810288,53.977564102564116,5.027767315257293,85.36111111111114,4.571896528098931,168.9615384615385,4.345878252230956,55.44658119658121,4.823596509257831,,,46.09829059829062,4.169885240566602,43.16025641025642,5.554716869636708,189.52777777777783,4.971306459071989,42.091880341880355,5.5895514961547015,57.04914529914532,4.976616223900791,,,46.09829059829062,5.318014833084972,54.64529914529916,4.392210232430672
58.429131054131076,5.2189438278265925,52.19693732193734,3.1490811680340727,89.59009971509975,3.785432217711776,52.86467236467239,3.8274946188673624,81.57727920227924,5.044057017168239,168.69444444444449,5.08347524108045,258.70512820512835,4.251822619598169,42.358974358974365,4.900663035472654,,,58.918803418803435,4.712123563366047,57.58333333333334,5.679389291403319,262.9786324786326,4.794403507870441,50.104700854700866,5.784064453693712,84.55982905982908,5.260806399123031,,,52.508547008547026,5.143798879810903,86.42948717948721,4.377019594745045
86.02884615384619,5.368602118767448,84.69337606837611,3.3449322719513086,,,76.23539886039889,4.510796764469108,161.26032763532768,4.745132958224139,253.0961538461539,4.975716989534623,326.81410256410265,4.290842967987255,83.75854700854703,4.815503399962317,,,125.42521367521371,4.7790415874484,73.8760683760684,5.810945138139527,322.80769230769243,4.875505883561994,83.75854700854703,5.511339516640117,14.848290598290607,6.829231711285819,,,65.59615384615387,5.122399242930304,165.75641025641033,4.269464741448708
170.83119658119662,5.399995032800643,168.16025641025647,3.921450336570576,,,149.90883190883196,4.345482160903002,243.39173789173802,4.805626095495834,337.4978632478634,5.0767095729921365,4.1645299145299255,4.129815785416987,156.1410256410257,4.736060325779764,,,167.89316239316247,4.72863093708785,148.12820512820517,5.32088381891989,,,165.75641025641033,5.285385471798296,154.27136752136758,5.348471044653408,,,93.37393162393165,5.142160988643953,254.43162393162405,4.60687032184026
266.98504273504284,5.233779410673197,253.1851851851853,3.703493054485037,,,252.51745014245026,4.880642581459213,329.08440170940185,4.535454341731895,,,18.05341880341881,6.091516965555041,247.22008547008554,4.885493808129077,,,254.43162393162405,4.906079852011715,229.5918803418804,5.254993491256014,,,250.95940170940182,4.878385574567938,239.7414529914531,4.823168302416798,,,177.50854700854705,5.236205916105714,340.4358974358976,4.24854683726427
333.5359686609688,5.097743449862687,336.206908831909,3.80454094799285,,,329.97471509971524,4.749968127137464,,,,,21.258547008547016,5.8965543908329465,336.4294871794873,4.888876642173234,,,336.69658119658135,4.506156072829418,314.7948717948719,4.820160149358545,,,332.95726495726507,5.16735025606769,328.95085470085485,4.896134748128735,,,260.57478632478643,5.3998772759193585,,
,,,,,,,,,,,,,,,,,,,,329.21794871794884,4.993541099292601,,,,,,,,,,,,
